"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",130.914701906089,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",137.878344447792,
"AUS","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",143.557648786141,
"AUS","HOUSECOST","RENT","IDX2015","Q","2021-Q2",101.260445609413,
"AUS","HOUSECOST","RENT","IDX2015","Q","2021-Q3",101.393476803714,
"AUS","HOUSECOST","RENT","IDX2015","Q","2021-Q4",101.431114432331,
"AUS","HOUSECOST","RENT","IDX2015","Q","2022-Q1",102.018679783301,
"AUS","HOUSECOST","RENT","IDX2015","Q","2022-Q2",102.902215780026,
"AUS","HOUSECOST","RENT","IDX2015","Q","2022-Q3",104.219831014418,
"AUS","HOUSECOST","RENT","IDX2015","Q","2022-Q4",105.444625246377,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",150.71084897004,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",155.409326006203,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",161.888121565278,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",166.304422485658,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",169.218902429394,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",173.875710406927,
"AUT","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q4",174.780964686063,
"AUT","HOUSECOST","RENT","IDX2015","Q","2021-Q2",122.770391489157,
"AUT","HOUSECOST","RENT","IDX2015","Q","2021-Q3",120.92332763007,
"AUT","HOUSECOST","RENT","IDX2015","Q","2021-Q4",120.114309947905,
"AUT","HOUSECOST","RENT","IDX2015","Q","2022-Q1",120.350409863688,
"AUT","HOUSECOST","RENT","IDX2015","Q","2022-Q2",121.683812114443,
"AUT","HOUSECOST","RENT","IDX2015","Q","2022-Q3",123.284444559094,
"AUT","HOUSECOST","RENT","IDX2015","Q","2022-Q4",125.548843909959,
"AUT","HOUSECOST","RENT","IDX2015","Q","2023-Q1",127.590357396333,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",126.331567222435,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",128.009345962896,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",129.81418870628,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",132.0870352436,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",133.811974855837,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",134.85573208157,
"BEL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q4",135.972257818125,
"BEL","HOUSECOST","RENT","IDX2015","Q","2021-Q2",108.711575255913,
"BEL","HOUSECOST","RENT","IDX2015","Q","2021-Q3",109.469516687242,
"BEL","HOUSECOST","RENT","IDX2015","Q","2021-Q4",110.205172175779,
"BEL","HOUSECOST","RENT","IDX2015","Q","2022-Q1",110.872989822415,
"BEL","HOUSECOST","RENT","IDX2015","Q","2022-Q2",112.031776674224,
"BEL","HOUSECOST","RENT","IDX2015","Q","2022-Q3",113.601843646689,
"BEL","HOUSECOST","RENT","IDX2015","Q","2022-Q4",115.441423751371,
"BEL","HOUSECOST","RENT","IDX2015","Q","2023-Q1",117.390129672042,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",156.844630677935,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",162.796770346768,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",167.840157617636,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",176.972930679349,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",183.041963810162,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",177.212373738564,
"CAN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q4",171.690100349267,
"CAN","HOUSECOST","RENT","IDX2015","Q","2021-Q2",108.54822932868,
"CAN","HOUSECOST","RENT","IDX2015","Q","2021-Q3",109.267078744643,
"CAN","HOUSECOST","RENT","IDX2015","Q","2021-Q4",109.943032686983,
"CAN","HOUSECOST","RENT","IDX2015","Q","2022-Q1",111.725332623101,
"CAN","HOUSECOST","RENT","IDX2015","Q","2022-Q2",113.351978014513,
"CAN","HOUSECOST","RENT","IDX2015","Q","2022-Q3",114.462194567912,
"CAN","HOUSECOST","RENT","IDX2015","Q","2022-Q4",116.027840357403,
"CAN","HOUSECOST","RENT","IDX2015","Q","2023-Q1",117.514016809197,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",177.414505765964,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",189.653198629899,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",200.920056983399,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",210.297374463863,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",218.375024433443,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",221.255744953779,
"CZE","HOUSECOST","RENT","IDX2015","Q","2021-Q2",115.859768044009,
"CZE","HOUSECOST","RENT","IDX2015","Q","2021-Q3",117.103106091741,
"CZE","HOUSECOST","RENT","IDX2015","Q","2021-Q4",118.391414002438,
"CZE","HOUSECOST","RENT","IDX2015","Q","2022-Q1",119.773863160773,
"CZE","HOUSECOST","RENT","IDX2015","Q","2022-Q2",121.22094347611,
"CZE","HOUSECOST","RENT","IDX2015","Q","2022-Q3",123.040589587544,
"CZE","HOUSECOST","RENT","IDX2015","Q","2022-Q4",125.164728237594,
"CZE","HOUSECOST","RENT","IDX2015","Q","2023-Q1",127.152319778324,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",137.727394638652,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",139.501197025714,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",139.697679215552,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",140.704923277386,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",141.359342317622,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",136.253701457472,
"DNK","HOUSECOST","RENT","IDX2015","Q","2021-Q2",107.305982348312,
"DNK","HOUSECOST","RENT","IDX2015","Q","2021-Q3",107.636600193841,
"DNK","HOUSECOST","RENT","IDX2015","Q","2021-Q4",107.979184765893,
"DNK","HOUSECOST","RENT","IDX2015","Q","2022-Q1",108.63948802851,
"DNK","HOUSECOST","RENT","IDX2015","Q","2022-Q2",109.35390643029,
"DNK","HOUSECOST","RENT","IDX2015","Q","2022-Q3",110.044563564702,
"DNK","HOUSECOST","RENT","IDX2015","Q","2022-Q4",110.825473679978,
"DNK","HOUSECOST","RENT","IDX2015","Q","2023-Q1",111.437658313598,
"FIN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",110.175898432996,
"FIN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",111.030249141132,
"FIN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",111.700490480242,
"FIN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",112.545326160788,
"FIN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",112.770378255235,
"FIN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",112.490970999105,
"FIN","HOUSECOST","RENT","IDX2015","Q","2021-Q2",110.813991222557,
"FIN","HOUSECOST","RENT","IDX2015","Q","2021-Q3",111.067179029009,
"FIN","HOUSECOST","RENT","IDX2015","Q","2021-Q4",111.204474238471,
"FIN","HOUSECOST","RENT","IDX2015","Q","2022-Q1",111.468741741669,
"FIN","HOUSECOST","RENT","IDX2015","Q","2022-Q2",111.850979869974,
"FIN","HOUSECOST","RENT","IDX2015","Q","2022-Q3",112.164416047474,
"FIN","HOUSECOST","RENT","IDX2015","Q","2022-Q4",112.598300068693,
"FIN","HOUSECOST","RENT","IDX2015","Q","2023-Q1",113.360252993968,
"FRA","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",123.5,
"FRA","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",125.8,
"FRA","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",128,
"FRA","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",130.2,
"FRA","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",132,
"FRA","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",133.9,
"FRA","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q4",134.2,
"FRA","HOUSECOST","RENT","IDX2015","Q","2021-Q2",101.878156302889,
"FRA","HOUSECOST","RENT","IDX2015","Q","2021-Q3",102.061569675524,
"FRA","HOUSECOST","RENT","IDX2015","Q","2021-Q4",102.106228424402,
"FRA","HOUSECOST","RENT","IDX2015","Q","2022-Q1",102.135089491735,
"FRA","HOUSECOST","RENT","IDX2015","Q","2022-Q2",102.417375279818,
"FRA","HOUSECOST","RENT","IDX2015","Q","2022-Q3",102.715116671728,
"FRA","HOUSECOST","RENT","IDX2015","Q","2022-Q4",103.149166059753,
"FRA","HOUSECOST","RENT","IDX2015","Q","2023-Q1",103.753511761779,
"DEU","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",151.978978352753,
"DEU","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",157.666930276949,
"DEU","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",161.908778066729,
"DEU","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",164.416364288071,
"DEU","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",166.747365259216,
"DEU","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",164.384360218345,
"DEU","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q4",156.116539373822,
"DEU","HOUSECOST","RENT","IDX2015","Q","2021-Q2",108.283907523321,
"DEU","HOUSECOST","RENT","IDX2015","Q","2021-Q3",108.745659226588,
"DEU","HOUSECOST","RENT","IDX2015","Q","2021-Q4",109.100107458456,
"DEU","HOUSECOST","RENT","IDX2015","Q","2022-Q1",109.572031918618,
"DEU","HOUSECOST","RENT","IDX2015","Q","2022-Q2",110.065453611347,
"DEU","HOUSECOST","RENT","IDX2015","Q","2022-Q3",110.633707754368,
"DEU","HOUSECOST","RENT","IDX2015","Q","2022-Q4",111.135406715799,
"DEU","HOUSECOST","RENT","IDX2015","Q","2023-Q1",111.642596436916,
"GRC","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",117.225612543739,
"GRC","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",120.150653935871,
"GRC","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",122.789472741988,
"GRC","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",125.513948292483,
"GRC","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",129.429681107753,
"GRC","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",134.146668206805,
"GRC","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q4",137.768702400826,
"GRC","HOUSECOST","RENT","IDX2015","Q","2021-Q2",92.2050266659139,
"GRC","HOUSECOST","RENT","IDX2015","Q","2021-Q3",92.3330201102951,
"GRC","HOUSECOST","RENT","IDX2015","Q","2021-Q4",92.4470959486775,
"GRC","HOUSECOST","RENT","IDX2015","Q","2022-Q1",92.721198005225,
"GRC","HOUSECOST","RENT","IDX2015","Q","2022-Q2",93.0181319957058,
"GRC","HOUSECOST","RENT","IDX2015","Q","2022-Q3",93.2214918074783,
"GRC","HOUSECOST","RENT","IDX2015","Q","2022-Q4",94.8769601580791,
"GRC","HOUSECOST","RENT","IDX2015","Q","2023-Q1",96.3648986690336,
"HUN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",202.452335983088,
"HUN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",212.538413419105,
"HUN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",224.187159850927,
"HUN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",236.798260849291,
"HUN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",251.365062012764,
"HUN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",257.37140694996,
"HUN","HOUSECOST","RENT","IDX2015","Q","2021-Q2",131.030760024324,
"HUN","HOUSECOST","RENT","IDX2015","Q","2021-Q3",133.017681921273,
"HUN","HOUSECOST","RENT","IDX2015","Q","2021-Q4",135.79487827014,
"HUN","HOUSECOST","RENT","IDX2015","Q","2022-Q1",138.767420629628,
"HUN","HOUSECOST","RENT","IDX2015","Q","2022-Q2",142.958599332735,
"HUN","HOUSECOST","RENT","IDX2015","Q","2022-Q3",148.958478691721,
"HUN","HOUSECOST","RENT","IDX2015","Q","2022-Q4",154.727842798832,
"HUN","HOUSECOST","RENT","IDX2015","Q","2023-Q1",157.787493918088,
"ISL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",174.51675341625,
"ISL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",180.326739699479,
"ISL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",187.79364729995,
"ISL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",198.002768700054,
"ISL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",210.479872460191,
"ISL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",223.631625505526,
"ISL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q4",227.27788177115,
"ISL","HOUSECOST","NOMINAL","IDX2015","Q","2023-Q1",229.414652045423,
"ISL","HOUSECOST","RENT","IDX2015","Q","2021-Q2",128.003852191551,
"ISL","HOUSECOST","RENT","IDX2015","Q","2021-Q3",128.76019122963,
"ISL","HOUSECOST","RENT","IDX2015","Q","2021-Q4",129.942054950869,
"ISL","HOUSECOST","RENT","IDX2015","Q","2022-Q1",131.623034810725,
"ISL","HOUSECOST","RENT","IDX2015","Q","2022-Q2",133.255712730701,
"ISL","HOUSECOST","RENT","IDX2015","Q","2022-Q3",135.56216165855,
"ISL","HOUSECOST","RENT","IDX2015","Q","2022-Q4",138.061190798715,
"ISL","HOUSECOST","RENT","IDX2015","Q","2023-Q1",140.387092923936,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",142.470001988599,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",148.208886732413,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",154.530867971816,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",159.433947428272,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",162.844157175362,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",165.817281137254,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q4",167.78061425646,
"IRL","HOUSECOST","RENT","IDX2015","Q","2021-Q2",119.364043510685,
"IRL","HOUSECOST","RENT","IDX2015","Q","2021-Q3",121.107997068533,
"IRL","HOUSECOST","RENT","IDX2015","Q","2021-Q4",123.910364819499,
"IRL","HOUSECOST","RENT","IDX2015","Q","2022-Q1",126.111060687844,
"IRL","HOUSECOST","RENT","IDX2015","Q","2022-Q2",129.475140067021,
"IRL","HOUSECOST","RENT","IDX2015","Q","2022-Q3",133.102234638982,
"IRL","HOUSECOST","RENT","IDX2015","Q","2022-Q4",138.9452305579,
"IRL","HOUSECOST","RENT","IDX2015","Q","2023-Q1",144.067040095138,
"ITA","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",101.89040938083,
"ITA","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",103.759605957795,
"ITA","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",104.67722545308,
"ITA","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",106.071947748796,
"ITA","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",107.116040672042,
"ITA","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",106.758104705316,
"ITA","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q4",107.653906888836,
"ITA","HOUSECOST","RENT","IDX2015","Q","2021-Q2",101.372785441753,
"ITA","HOUSECOST","RENT","IDX2015","Q","2021-Q3",101.469502498258,
"ITA","HOUSECOST","RENT","IDX2015","Q","2021-Q4",101.586773636339,
"ITA","HOUSECOST","RENT","IDX2015","Q","2022-Q1",101.908068546272,
"ITA","HOUSECOST","RENT","IDX2015","Q","2022-Q2",102.338782296971,
"ITA","HOUSECOST","RENT","IDX2015","Q","2022-Q3",102.66562795818,
"ITA","HOUSECOST","RENT","IDX2015","Q","2022-Q4",103.45494828378,
"ITA","HOUSECOST","RENT","IDX2015","Q","2023-Q1",103.809472247305,
"JPN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",113.727,
"JPN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",116.811,
"JPN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",118.251,
"JPN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",121.768,
"JPN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",124.147,
"JPN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",126.035,
"JPN","HOUSECOST","RENT","IDX2015","Q","2021-Q2",99.2172900425697,
"JPN","HOUSECOST","RENT","IDX2015","Q","2021-Q3",99.1940451076229,
"JPN","HOUSECOST","RENT","IDX2015","Q","2021-Q4",99.210731797555,
"JPN","HOUSECOST","RENT","IDX2015","Q","2022-Q1",99.2344873109773,
"JPN","HOUSECOST","RENT","IDX2015","Q","2022-Q2",99.2482907653754,
"JPN","HOUSECOST","RENT","IDX2015","Q","2022-Q3",99.294092694272,
"JPN","HOUSECOST","RENT","IDX2015","Q","2022-Q4",99.3102883870517,
"JPN","HOUSECOST","RENT","IDX2015","Q","2023-Q1",99.3337007427996,
"KOR","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",115.538496354668,
"KOR","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",118.680154107366,
"KOR","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",120.856050293222,
"KOR","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",120.88792784194,
"KOR","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",121.11730521938,
"KOR","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",120.052014805467,
"KOR","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q4",115.224252418212,
